Image,Car
avito_4909824105.jpg,1
avito_5101097942.jpg,0
drom_348637887.jpg,0
drom_354266492.jpg,1
auto_1545092326c1bdafec898192e24d73a3.jpg,1
drom_348994047.jpg,0
avito_5280675701.jpg,1
drom_360893535.jpg,0
avito_5335105349.jpg,1
avito_5206225326.jpg,1
auto_da00fc2320ce499dc11c86f70b6b6337.jpg,0
avito_5224412219.jpg,0
avito_4287061899.jpg,0
drom_360643547.jpg,1
avito_5307417582.jpg,0
avito_5258279466.jpg,0
avito_5209738601.jpg,1
avito_5330720739.jpg,0
drom_1457020812192.jpg,0
drom_359910196.jpg,0
auto_f68ef5d5066c1b1534e6541deaea28b3.jpg,1
drom_347004054.jpg,0
auto_d726d33f58e60466e45bbc8409f20337.jpg,1
avito_4865183163.jpg,0
avito_5259079106.jpg,0
avito_5299305035.jpg,1
avito_5150814859.jpg,1
drom_347322670.jpg,1
auto_d3620fa13fee5bf03fde08333dde22fc.jpg,0
avito_5231228963.jpg,0
avito_5088839689.jpg,1
avito_5046053897.jpg,0
auto_6da0896034de930b37ab9559051ac20c.jpg,1
drom_360747547.jpg,0
drom_320037560.jpg,1
auto_228d310965975c4638836b1c08687577.jpg,1
auto_e4474f636ee3932d22c5305b5d52591b.jpg,1
drom_345475994.jpg,0
auto_eceed3f2f0d12126237718d8ac0f3000.jpg,1
auto_7c1e8e197878cb115835102d02fdc1b6.jpg,1
avito_5236603526.jpg,1
drom_355969343.jpg,1
avito_5266630301.jpg,0
auto_0ee3cf5acd495c6ec452b60f6b7f4ccb.jpg,1
avito_5223556604.jpg,1
auto_9f06ee965a29a6d0090a63c4c2436667.jpg,1
auto_b1e4a87ea98ad5bb48994acf9199be34.jpg,0
auto_96bdd7f420675b912e253965eeb6de31.jpg,1
auto_dd671f6b8493de28941b9eeee1634a38.jpg,1
auto_98c1ca17ca72d41dd113fb004464a18c.jpg,1
avito_4899649106.jpg,0
auto_01514fe1b76f191fe519cef28f42e4af.jpg,0
avito_5321137939.jpg,0
avito_4824436361.jpg,1
drom_361119884.jpg,0
avito_5190097243.jpg,0
avito_4930036259.jpg,0
avito_5037143603.jpg,0
avito_5270784746.jpg,1
auto_d46cdda3a51ec1ddc87640c6625817c5.jpg,1
avito_5208082132.jpg,0
drom_358135473.jpg,1
auto_e22b94a84089d106708d99126f5ad823.jpg,1
avito_5270757354.jpg,0
drom_344500225.jpg,0
avito_4935208091.jpg,1
drom_360269102.jpg,0
auto_41bde8efb1e1937ab15956d6d21c7a1b.jpg,1
drom_333962491.jpg,1
avito_5258497535.jpg,0
avito_5105895041.jpg,1
avito_5060996096.jpg,1
auto_842636cd8e542beb88f4be4a442fbb39.jpg,1
avito_5206835185.jpg,0
auto_50319a3caaf040bf79c33be02ae32381.jpg,0
avito_5100038592.jpg,1
avito_5297664505.jpg,1
avito_5209738608.jpg,1
avito_4938166990.jpg,0
avito_4354536172.jpg,1
avito_5315305975.jpg,0
avito_5284578257.jpg,0
drom_359242096.jpg,0
avito_4848036858.jpg,0
avito_5228645408.jpg,0
auto_883f2546ce999427f161269aac6f099d.jpg,0
drom_358464893.jpg,0
drom_360282344.jpg,0
auto_14f5b1407d2e356e807ef0b6e3b7ebf7.jpg,1
avito_5333049401.jpg,1
avito_5169645540.jpg,1
drom_359648394.jpg,0
avito_5279553413.jpg,0
avito_5317354390.jpg,1
avito_5314852257.jpg,1
auto_e337980322123a1b2669d9c20b7a6dad.jpg,1
avito_5089429893.jpg,1
avito_5230056400.jpg,1
avito_5282360646.jpg,0
auto_4259de5aaff4d976cdc60ed8a8911397.jpg,0
avito_5306508895.jpg,1
avito_5269704419.jpg,0
avito_5253076300.jpg,0
avito_5104358666.jpg,1
avito_5286287005.jpg,1
avito_5092741917.jpg,1
avito_5264951934.jpg,0
avito_5219375314.jpg,1
drom_348741984.jpg,1
drom_356648161.jpg,0
avito_5298362593.jpg,0
avito_4826947818.jpg,1
drom_360998194.jpg,1
avito_5126127534.jpg,1
avito_5275957140.jpg,1
avito_5271917732.jpg,1
avito_5318997029.jpg,0
avito_5322157343.jpg,1
avito_5290117042.jpg,0
auto_ff5f23cfeb831daf300d6e184a962863.jpg,1
avito_4935839708.jpg,1
auto_7d301a64e057cf36bf2743c0cae83910.jpg,1
avito_5190331211.jpg,1
avito_4638803730.jpg,1
avito_4898398194.jpg,0
avito_5188762565.jpg,0
avito_5276601409.jpg,1
avito_5094415080.jpg,1
avito_5292594972.jpg,1
auto_3b3709e6db2439c8b1ea95ecad8a19c4.jpg,1
drom_316072752.jpg,1
avito_5277693802.jpg,1
avito_5309335218.jpg,1
auto_84dd1d42f5ac52f96d7ddc04ca73a9cd.jpg,1
avito_5307135501.jpg,1
drom_358799020.jpg,1
auto_6c98817015416e3b78c76a3b788d0a26.jpg,1
avito_5284967338.jpg,0
avito_5255605242.jpg,1
avito_5314701778.jpg,1
avito_5217806388.jpg,1
drom_330787926.jpg,1
drom_318939418.jpg,1
avito_5221084701.jpg,1
drom_355691324.jpg,1
avito_5331928124.jpg,0
avito_5198405245.jpg,0
avito_5340091522.jpg,0
auto_8219db276a1a03cdec2b323d02dd9736.jpg,0
drom_347822002.jpg,0
drom_354579552.jpg,0
auto_4835c2110cebd323d2ac938c606d6845.jpg,0
auto_0c1fcb75bd46b7ffea120b84b5b64b42.jpg,0
drom_320004583.jpg,1
drom_356575462.jpg,0
avito_4658862383.jpg,0
drom_348396907.jpg,0
auto_3d04fd6fb660751a8220711fff049f65.jpg,0
auto_24e8b6d16517244f71a9c24a87786c5d.jpg,1
drom_353875717.jpg,1
auto_b873f064ffc1f36944b7162115da6aea.jpg,0
avito_5255111910.jpg,0
avito_5280143620.jpg,1
auto_3bae1a58b525c5a2427da75f88385255.jpg,0
avito_4584928629.jpg,1
auto_0befc971bfa820e1ee0995342149527f.jpg,0
drom_360811153.jpg,1
drom_333129932.jpg,1
avito_5099597509.jpg,0
avito_4433188406.jpg,0
avito_5310095177.jpg,1
drom_359288788.jpg,0
drom_358933265.jpg,0
auto_f655c7c4b26752c07612e0cf8b0f6bf3.jpg,1
avito_4910611070.jpg,0
avito_5275582008.jpg,1
avito_5294991371.jpg,1
auto_5eb055efd0158b7cc7b88ff6de1512b9.jpg,1
avito_5283216890.jpg,1
avito_5134981045.jpg,0
drom_355066753.jpg,0
drom_314848593.jpg,1
auto_c4ef6bed0c09a5f305bbc853a8588aa8.jpg,0
avito_5119030849.jpg,1
drom_352075742.jpg,1
avito_4903919747.jpg,1
avito_5239181989.jpg,1
avito_4515705585.jpg,0
